2026/04/19 00:21:08.968, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:09.995, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:11.021, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:12.047, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:13.073, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:14.098, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:15.124, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:16.151, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:17.178, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:18.205, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:19.231, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:20.260, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:21.290, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:22.317, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:23.348, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:24.379, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:25.494, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:26.520, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:27.547, 0 MiB, 81920 MiB, 0 %, 64.61 W
2026/04/19 00:21:28.579, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:29.608, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:30.635, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:31.661, 0 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:32.694, 4 MiB, 81920 MiB, 0 %, 64.68 W
2026/04/19 00:21:33.719, 15867 MiB, 81920 MiB, 9 %, 85.70 W
