2026/04/19 12:34:53.653, 0 MiB, 81559 MiB, 0 %, 71.36 W
2026/04/19 12:34:54.687, 0 MiB, 81559 MiB, 0 %, 71.41 W
2026/04/19 12:34:55.716, 0 MiB, 81559 MiB, 0 %, 71.37 W
2026/04/19 12:34:56.803, 0 MiB, 81559 MiB, 0 %, 71.42 W
2026/04/19 12:34:57.831, 0 MiB, 81559 MiB, 0 %, 71.36 W
2026/04/19 12:34:58.862, 0 MiB, 81559 MiB, 0 %, 71.39 W
2026/04/19 12:34:59.893, 0 MiB, 81559 MiB, 0 %, 71.34 W
2026/04/19 12:35:00.924, 0 MiB, 81559 MiB, 0 %, 71.36 W
2026/04/19 12:35:02.001, 0 MiB, 81559 MiB, 0 %, 71.38 W
2026/04/19 12:35:03.031, 0 MiB, 81559 MiB, 0 %, 71.39 W
2026/04/19 12:35:04.061, 0 MiB, 81559 MiB, 0 %, 71.36 W
2026/04/19 12:35:05.089, 0 MiB, 81559 MiB, 0 %, 71.37 W
2026/04/19 12:35:06.119, 0 MiB, 81559 MiB, 0 %, 71.37 W
2026/04/19 12:35:07.149, 0 MiB, 81559 MiB, 0 %, 71.36 W
2026/04/19 12:35:08.177, 0 MiB, 81559 MiB, 0 %, 71.32 W
2026/04/19 12:35:09.206, 0 MiB, 81559 MiB, 0 %, 71.34 W
2026/04/19 12:35:10.235, 0 MiB, 81559 MiB, 0 %, 71.36 W
2026/04/19 12:35:11.265, 0 MiB, 81559 MiB, 0 %, 71.36 W
2026/04/19 12:35:12.294, 0 MiB, 81559 MiB, 0 %, 71.40 W
2026/04/19 12:35:13.322, 0 MiB, 81559 MiB, 0 %, 71.39 W
2026/04/19 12:35:14.352, 0 MiB, 81559 MiB, 0 %, 71.40 W
2026/04/19 12:35:15.383, 0 MiB, 81559 MiB, 0 %, 71.33 W
2026/04/19 12:35:16.412, 0 MiB, 81559 MiB, 0 %, 71.38 W
2026/04/19 12:35:17.476, 22 MiB, 81559 MiB, 0 %, 73.63 W
