2026/04/19 13:54:55.988, 0 MiB, 81559 MiB, 0 %, 75.84 W
2026/04/19 13:54:57.022, 0 MiB, 81559 MiB, 0 %, 75.86 W
2026/04/19 13:54:58.054, 0 MiB, 81559 MiB, 0 %, 75.86 W
2026/04/19 13:54:59.087, 0 MiB, 81559 MiB, 0 %, 75.84 W
2026/04/19 13:55:00.120, 0 MiB, 81559 MiB, 0 %, 75.92 W
2026/04/19 13:55:01.152, 0 MiB, 81559 MiB, 0 %, 75.95 W
2026/04/19 13:55:02.183, 0 MiB, 81559 MiB, 0 %, 75.93 W
2026/04/19 13:55:03.214, 0 MiB, 81559 MiB, 0 %, 75.88 W
2026/04/19 13:55:04.245, 0 MiB, 81559 MiB, 0 %, 75.89 W
2026/04/19 13:55:05.280, 0 MiB, 81559 MiB, 0 %, 75.89 W
2026/04/19 13:55:06.348, 0 MiB, 81559 MiB, 0 %, 75.94 W
2026/04/19 13:55:07.379, 0 MiB, 81559 MiB, 0 %, 75.96 W
2026/04/19 13:55:08.409, 0 MiB, 81559 MiB, 0 %, 75.97 W
2026/04/19 13:55:09.441, 0 MiB, 81559 MiB, 0 %, 75.94 W
2026/04/19 13:55:10.472, 0 MiB, 81559 MiB, 0 %, 75.93 W
2026/04/19 13:55:11.502, 0 MiB, 81559 MiB, 0 %, 75.89 W
2026/04/19 13:55:12.545, 0 MiB, 81559 MiB, 0 %, 75.96 W
2026/04/19 13:55:13.580, 4 MiB, 81559 MiB, 0 %, 75.98 W
2026/04/19 13:55:14.612, 15985 MiB, 81559 MiB, 0 %, 120.04 W
2026/04/19 13:55:15.640, 15985 MiB, 81559 MiB, 0 %, 125.80 W
2026/04/19 13:55:16.669, 15985 MiB, 81559 MiB, 0 %, 125.81 W
2026/04/19 13:55:17.696, 15985 MiB, 81559 MiB, 0 %, 125.91 W
2026/04/19 13:55:18.722, 15985 MiB, 81559 MiB, 0 %, 126.03 W
2026/04/19 13:55:19.750, 15985 MiB, 81559 MiB, 0 %, 126.08 W
2026/04/19 13:55:20.780, 15985 MiB, 81559 MiB, 0 %, 126.10 W
2026/04/19 13:55:21.808, 15985 MiB, 81559 MiB, 0 %, 126.14 W
2026/04/19 13:55:22.834, 15985 MiB, 81559 MiB, 0 %, 126.16 W
2026/04/19 13:55:23.859, 15985 MiB, 81559 MiB, 0 %, 126.15 W
2026/04/19 13:55:24.887, 15985 MiB, 81559 MiB, 0 %, 126.21 W
2026/04/19 13:55:25.915, 15985 MiB, 81559 MiB, 0 %, 126.27 W
2026/04/19 13:55:26.943, 15985 MiB, 81559 MiB, 0 %, 126.32 W
2026/04/19 13:55:27.973, 15985 MiB, 81559 MiB, 0 %, 126.31 W
2026/04/19 13:55:29.002, 15985 MiB, 81559 MiB, 0 %, 126.27 W
2026/04/19 13:55:30.032, 15985 MiB, 81559 MiB, 0 %, 126.27 W
2026/04/19 13:55:31.061, 15985 MiB, 81559 MiB, 0 %, 126.35 W
2026/04/19 13:55:32.089, 15985 MiB, 81559 MiB, 0 %, 126.39 W
2026/04/19 13:55:33.118, 15985 MiB, 81559 MiB, 0 %, 126.44 W
2026/04/19 13:55:34.146, 15985 MiB, 81559 MiB, 0 %, 126.44 W
2026/04/19 13:55:35.179, 15985 MiB, 81559 MiB, 0 %, 126.48 W
2026/04/19 13:55:36.209, 15985 MiB, 81559 MiB, 0 %, 126.50 W
2026/04/19 13:55:37.239, 15985 MiB, 81559 MiB, 0 %, 126.47 W
2026/04/19 13:55:38.267, 15985 MiB, 81559 MiB, 0 %, 126.53 W
2026/04/19 13:55:39.294, 15985 MiB, 81559 MiB, 0 %, 126.54 W
2026/04/19 13:55:40.326, 15985 MiB, 81559 MiB, 0 %, 126.45 W
2026/04/19 13:55:41.355, 15985 MiB, 81559 MiB, 0 %, 126.43 W
2026/04/19 13:55:42.384, 15985 MiB, 81559 MiB, 0 %, 126.40 W
2026/04/19 13:55:43.414, 15985 MiB, 81559 MiB, 0 %, 126.41 W
2026/04/19 13:55:44.442, 15985 MiB, 81559 MiB, 0 %, 126.39 W
2026/04/19 13:55:45.471, 15985 MiB, 81559 MiB, 0 %, 126.43 W
2026/04/19 13:55:46.498, 15985 MiB, 81559 MiB, 0 %, 126.42 W
2026/04/19 13:55:47.528, 15985 MiB, 81559 MiB, 0 %, 126.40 W
2026/04/19 13:55:48.558, 15985 MiB, 81559 MiB, 0 %, 126.38 W
2026/04/19 13:55:49.588, 15985 MiB, 81559 MiB, 0 %, 126.37 W
2026/04/19 13:55:50.615, 15985 MiB, 81559 MiB, 0 %, 126.35 W
2026/04/19 13:55:51.644, 15985 MiB, 81559 MiB, 0 %, 126.39 W
2026/04/19 13:55:52.675, 15985 MiB, 81559 MiB, 0 %, 126.35 W
2026/04/19 13:55:53.708, 15985 MiB, 81559 MiB, 0 %, 126.27 W
2026/04/19 13:55:54.738, 15985 MiB, 81559 MiB, 0 %, 126.29 W
2026/04/19 13:55:55.768, 15985 MiB, 81559 MiB, 0 %, 126.32 W
2026/04/19 13:55:56.797, 15985 MiB, 81559 MiB, 0 %, 126.36 W
2026/04/19 13:55:57.826, 15985 MiB, 81559 MiB, 0 %, 126.36 W
2026/04/19 13:55:58.856, 15985 MiB, 81559 MiB, 0 %, 126.29 W
2026/04/19 13:55:59.889, 15985 MiB, 81559 MiB, 0 %, 126.30 W
2026/04/19 13:56:00.920, 15985 MiB, 81559 MiB, 0 %, 126.33 W
2026/04/19 13:56:01.951, 15985 MiB, 81559 MiB, 0 %, 126.29 W
2026/04/19 13:56:02.985, 15985 MiB, 81559 MiB, 0 %, 126.42 W
2026/04/19 13:56:04.018, 15985 MiB, 81559 MiB, 0 %, 126.40 W
2026/04/19 13:56:05.050, 15985 MiB, 81559 MiB, 13 %, 127.17 W
2026/04/19 13:56:06.080, 15985 MiB, 81559 MiB, 14 %, 127.40 W
2026/04/19 13:56:07.109, 15985 MiB, 81559 MiB, 0 %, 127.22 W
2026/04/19 13:56:08.140, 68247 MiB, 81559 MiB, 1 %, 194.94 W
2026/04/19 13:56:09.169, 68251 MiB, 81559 MiB, 0 %, 126.63 W
2026/04/19 13:56:10.197, 68433 MiB, 81559 MiB, 0 %, 136.65 W
