2026/04/19 14:08:55.600, 0 MiB, 81559 MiB, 0 %, 75.83 W
2026/04/19 14:08:56.632, 0 MiB, 81559 MiB, 0 %, 75.86 W
2026/04/19 14:08:57.670, 0 MiB, 81559 MiB, 0 %, 75.90 W
2026/04/19 14:08:58.704, 0 MiB, 81559 MiB, 0 %, 75.81 W
2026/04/19 14:08:59.739, 0 MiB, 81559 MiB, 0 %, 75.85 W
2026/04/19 14:09:00.771, 0 MiB, 81559 MiB, 0 %, 75.86 W
2026/04/19 14:09:01.807, 0 MiB, 81559 MiB, 0 %, 75.89 W
2026/04/19 14:09:02.841, 0 MiB, 81559 MiB, 0 %, 75.91 W
2026/04/19 14:09:03.874, 0 MiB, 81559 MiB, 0 %, 75.91 W
2026/04/19 14:09:04.909, 0 MiB, 81559 MiB, 0 %, 75.90 W
2026/04/19 14:09:05.943, 0 MiB, 81559 MiB, 0 %, 75.84 W
2026/04/19 14:09:06.975, 0 MiB, 81559 MiB, 0 %, 75.87 W
2026/04/19 14:09:08.007, 0 MiB, 81559 MiB, 0 %, 75.88 W
2026/04/19 14:09:09.039, 0 MiB, 81559 MiB, 0 %, 75.87 W
2026/04/19 14:09:10.074, 0 MiB, 81559 MiB, 0 %, 75.88 W
2026/04/19 14:09:11.107, 0 MiB, 81559 MiB, 0 %, 75.87 W
2026/04/19 14:09:12.142, 0 MiB, 81559 MiB, 0 %, 75.81 W
2026/04/19 14:09:13.176, 0 MiB, 81559 MiB, 0 %, 75.81 W
2026/04/19 14:09:14.212, 15985 MiB, 81559 MiB, 3 %, 99.84 W
2026/04/19 14:09:15.239, 15985 MiB, 81559 MiB, 0 %, 125.25 W
2026/04/19 14:09:16.272, 15985 MiB, 81559 MiB, 0 %, 125.32 W
2026/04/19 14:09:17.304, 15985 MiB, 81559 MiB, 0 %, 125.40 W
2026/04/19 14:09:18.336, 15985 MiB, 81559 MiB, 0 %, 125.66 W
2026/04/19 14:09:19.368, 15985 MiB, 81559 MiB, 0 %, 125.80 W
2026/04/19 14:09:20.399, 15985 MiB, 81559 MiB, 0 %, 125.91 W
2026/04/19 14:09:21.431, 15985 MiB, 81559 MiB, 0 %, 125.96 W
2026/04/19 14:09:22.462, 15985 MiB, 81559 MiB, 0 %, 125.99 W
2026/04/19 14:09:23.491, 15985 MiB, 81559 MiB, 0 %, 125.94 W
2026/04/19 14:09:24.521, 15985 MiB, 81559 MiB, 0 %, 126.02 W
2026/04/19 14:09:25.549, 15985 MiB, 81559 MiB, 0 %, 126.06 W
2026/04/19 14:09:26.578, 15985 MiB, 81559 MiB, 0 %, 126.08 W
2026/04/19 14:09:27.609, 15985 MiB, 81559 MiB, 0 %, 126.13 W
2026/04/19 14:09:28.640, 15985 MiB, 81559 MiB, 0 %, 126.07 W
2026/04/19 14:09:29.671, 15985 MiB, 81559 MiB, 0 %, 126.06 W
2026/04/19 14:09:30.704, 15985 MiB, 81559 MiB, 0 %, 126.08 W
2026/04/19 14:09:31.736, 15985 MiB, 81559 MiB, 0 %, 126.09 W
2026/04/19 14:09:32.764, 15985 MiB, 81559 MiB, 0 %, 126.10 W
2026/04/19 14:09:33.794, 15985 MiB, 81559 MiB, 0 %, 126.12 W
2026/04/19 14:09:34.824, 15985 MiB, 81559 MiB, 0 %, 126.12 W
2026/04/19 14:09:35.854, 15985 MiB, 81559 MiB, 0 %, 126.12 W
2026/04/19 14:09:36.886, 15985 MiB, 81559 MiB, 0 %, 126.18 W
2026/04/19 14:09:37.918, 15985 MiB, 81559 MiB, 0 %, 126.17 W
2026/04/19 14:09:38.948, 15985 MiB, 81559 MiB, 0 %, 126.19 W
2026/04/19 14:09:39.981, 15985 MiB, 81559 MiB, 0 %, 126.25 W
2026/04/19 14:09:41.013, 15985 MiB, 81559 MiB, 0 %, 126.27 W
2026/04/19 14:09:42.045, 15985 MiB, 81559 MiB, 0 %, 126.25 W
2026/04/19 14:09:43.075, 15985 MiB, 81559 MiB, 0 %, 126.27 W
2026/04/19 14:09:44.106, 15985 MiB, 81559 MiB, 0 %, 126.24 W
2026/04/19 14:09:45.138, 15985 MiB, 81559 MiB, 0 %, 126.29 W
2026/04/19 14:09:46.169, 15985 MiB, 81559 MiB, 0 %, 126.35 W
2026/04/19 14:09:47.201, 15985 MiB, 81559 MiB, 0 %, 126.40 W
