tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,prompt_tokens,error
flooder,5872,1776748230.8759968,0.0,1.8546581268310547,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2391,1776748119.537787,0.0,2.356290817260742,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4277,1776748180.655184,37.27412223815918,491.804838180542,63,64,
flooder,9254,1776748340.555326,45.186758041381836,45.186758041381836,0,8192,
flooder,2399,1776748119.8204098,0.0,2.092123031616211,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4266,1776748180.321286,0.0,2.137422561645508,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5875,1776748230.9847343,0.0,2.2096633911132812,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,9187,1776748338.4259758,0.0,2.4781227111816406,0,8192,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4273,1776748180.5266237,0.0,2.287626266479492,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5937,1776748233.2347577,42.90199279785156,496.7052936553955,63,512,
flooder,9185,1776748338.3300037,0.0,2.7692317962646484,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2382,1776748119.3167868,0.0,2.2089481353759766,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2393,1776748119.625084,0.0,2.2008419036865234,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4248,1776748179.7764885,0.0,2.1660327911376953,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5881,1776748231.0899792,0.0,1.7304420471191406,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,9193,1776748338.6144965,0.0,2.173900604248047,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2376,1776748119.186447,0.0,3.627300262451172,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4281,1776748180.7349756,0.0,2.444744110107422,0,8192,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5889,1776748231.5348566,0.0,2.1653175354003906,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,9183,1776748338.2750595,0.0,4.446506500244141,0,8192,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2414,1776748120.123109,0.0,2.5026798248291016,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4253,1776748179.9104218,0.0,2.019643783569336,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5877,1776748231.0128462,0.0,2.09808349609375,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,9219,1776748339.5778463,42.54031181335449,471.8914031982422,63,512,
flooder,2388,1776748119.4940786,0.0,2.5577545166015625,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4270,1776748180.4252672,0.0,2.314329147338867,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5887,1776748231.3831222,30.832529067993164,469.8069095611572,60,64,
flooder,9191,1776748338.5819435,0.0,2.3174285888671875,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2384,1776748119.4144294,0.0,2.236604690551758,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4256,1776748179.9753025,0.0,2.0112991333007812,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5878,1776748231.0338373,0.0,2.3784637451171875,0,8192,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,9203,1776748338.8178973,0.0,1.6331672668457031,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2385,1776748119.41731,0.0,2.2203922271728516,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4272,1776748180.484082,0.0,2.2585391998291016,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5873,1776748230.8881814,0.0,2.301931381225586,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,9196,1776748338.7091894,0.0,1.5468597412109375,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2424,1776748120.6098657,0.0,2.191781997680664,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4257,1776748179.9896104,0.0,2.1436214447021484,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5893,1776748231.6622975,39.74580764770508,459.6407413482666,63,64,
flooder,9205,1776748338.9133437,0.0,3.886699676513672,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,4260,1776748180.1114674,0.0,4.009723663330078,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5892,1776748231.6428647,0.0,2.8820037841796875,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,9194,1776748338.6393049,0.0,1.2669563293457031,0,64,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2380,1776748119.2704558,0.0,2.1491050720214844,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2400,1776748119.8509605,43.84493827819824,475.2347469329834,63,512,
flooder,4269,1776748180.4102807,0.0,2.267599105834961,0,512,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,5912,1776748232.1805284,0.0,2.3097991943359375,0,2048,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
