2026/04/19 15:36:34.637, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:35.665, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:36.695, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:37.725, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:38.752, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:39.782, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:40.810, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:36:41.841, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:42.872, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:43.907, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:36:44.938, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:45.969, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:47.002, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:48.034, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:49.067, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:50.095, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:51.129, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:52.163, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:53.197, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:54.232, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:55.264, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:56.314, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:36:57.348, 1 MiB, 81920 MiB, 0 %, 64.15 W
2026/04/19 15:36:58.381, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:36:59.413, 1 MiB, 81920 MiB, 0 %, 64.08 W
2026/04/19 15:37:00.445, 1 MiB, 81920 MiB, 0 %, 64.02 W
2026/04/19 15:37:01.477, 1583 MiB, 81920 MiB, 3 %, 75.02 W
2026/04/19 15:37:02.509, 15865 MiB, 81920 MiB, 0 %, 74.62 W
2026/04/19 15:37:03.540, 15865 MiB, 81920 MiB, 0 %, 74.78 W
2026/04/19 15:37:04.570, 15865 MiB, 81920 MiB, 0 %, 74.78 W
2026/04/19 15:37:05.602, 15865 MiB, 81920 MiB, 0 %, 74.70 W
2026/04/19 15:37:06.633, 15865 MiB, 81920 MiB, 0 %, 74.85 W
2026/04/19 15:37:07.668, 15865 MiB, 81920 MiB, 0 %, 74.70 W
2026/04/19 15:37:08.696, 15865 MiB, 81920 MiB, 46 %, 96.38 W
2026/04/19 15:37:09.726, 15865 MiB, 81920 MiB, 18 %, 93.98 W
