2026/04/19 17:00:28.302, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:29.330, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:30.358, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:31.389, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:32.419, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:33.447, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:34.488, 0 MiB, 81920 MiB, 0 %, 64.00 W
2026/04/19 17:00:35.517, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:36.546, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:37.578, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:38.615, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:39.644, 0 MiB, 81920 MiB, 0 %, 64.00 W
2026/04/19 17:00:40.680, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:41.707, 0 MiB, 81920 MiB, 0 %, 63.93 W
2026/04/19 17:00:42.736, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:43.770, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:44.796, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:45.822, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:46.849, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:47.880, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:48.908, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:49.935, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:50.968, 0 MiB, 81920 MiB, 0 %, 64.20 W
2026/04/19 17:00:51.994, 425 MiB, 81920 MiB, 0 %, 86.13 W
2026/04/19 17:00:53.027, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:00:54.055, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:00:55.082, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:00:56.107, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:00:57.133, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:00:58.161, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:00:59.187, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:01:00.213, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:01:01.240, 15867 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:01:02.267, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:01:03.296, 15867 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:01:04.324, 15867 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:01:05.350, 15867 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:01:06.379, 15867 MiB, 81920 MiB, 0 %, 85.44 W
2026/04/19 17:01:07.410, 15867 MiB, 81920 MiB, 0 %, 85.77 W
2026/04/19 17:01:08.439, 15867 MiB, 81920 MiB, 0 %, 85.77 W
