tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,error
flooder,1576,1776628873.8821013,0.0,60700.663805007935,0,timeout
flooder,1692,1776628883.8821115,0.0,60700.63877105713,0,timeout
flooder,1263,1776628838.6821887,0.0,41706.554651260376,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2278,1776628934.7821105,0.0,54106.84823989868,0,"HTTP 503: {""error"": ""server overloaded"", ""detail"": ""Admission timeout: 256 in-flight, 255 queued"", ""queue_depth"": 255, ""in_flight"": 256}"
flooder,1056,1776628820.7874856,0.0,47001.33681297302,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2680,1776628968.3820095,0.0,60200.504779815674,0,timeout
flooder,2030,1776628912.9820347,0.0,38502.718687057495,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,1782,1776628891.2819886,0.0,60300.79650878906,0,timeout
flooder,972,1776628813.1821418,0.0,46006.306648254395,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,589,1776628778.8820963,0.0,60700.87194442749,0,timeout
flooder,2031,1776628913.0821233,0.0,38403.22804450989,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2277,1776628934.6821375,0.0,54206.58493041992,0,"HTTP 503: {""error"": ""server overloaded"", ""detail"": ""Admission timeout: 256 in-flight, 255 queued"", ""queue_depth"": 255, ""in_flight"": 256}"
flooder,2679,1776628968.1823726,0.0,60400.0084400177,0,timeout
flooder,1275,1776628839.7821393,0.0,40701.12204551697,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,1575,1776628873.6821213,0.0,60900.68006515503,0,timeout
flooder,1305,1776628841.9823925,0.0,60600.18610954285,0,timeout
flooder,1577,1776628873.887537,0.0,60695.19281387329,0,timeout
flooder,2272,1776628934.382136,0.0,54505.73754310608,0,"HTTP 503: {""error"": ""server overloaded"", ""detail"": ""Admission timeout: 256 in-flight, 255 queued"", ""queue_depth"": 255, ""in_flight"": 256}"
flooder,976,1776628813.5820308,0.0,45900.75731277466,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,1574,1776628873.5820115,0.0,61000.824213027954,0,timeout
flooder,1911,1776628902.6821637,0.0,60900.37155151367,0,timeout
flooder,2032,1776628913.1821346,0.0,38303.90119552612,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,977,1776628813.6820238,0.0,45800.928354263306,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,1314,1776628842.7821295,0.0,43402.400493621826,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,1573,1776628873.4819975,0.0,60100.337743759155,0,timeout
flooder,2271,1776628934.2821112,0.0,54605.56387901306,0,"HTTP 503: {""error"": ""server overloaded"", ""detail"": ""Admission timeout: 256 in-flight, 255 queued"", ""queue_depth"": 255, ""in_flight"": 256}"
flooder,2692,1776628969.3825598,0.0,60199.86414909363,0,timeout
flooder,1262,1776628838.5834343,0.0,41804.76641654968,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,1572,1776628873.3821118,0.0,60200.33359527588,0,timeout
flooder,2033,1776628913.2821429,0.0,38204.418897628784,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,978,1776628813.7820387,0.0,45701.088190078735,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,1924,1776628903.6821184,0.0,60900.35438537598,0,timeout
flooder,635,1776628782.5824938,0.0,60999.8562335968,0,timeout
flooder,2034,1776628913.382116,0.0,38104.97260093689,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,636,1776628782.6820471,0.0,60900.38204193115,0,timeout
flooder,979,1776628813.8889866,0.0,45594.30980682373,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,1783,1776628891.3820648,0.0,60200.67811012268,0,timeout
flooder,2035,1776628913.482006,0.0,38005.64479827881,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,388,1776628761.4825385,0.0,21399.720907211304,0,"HTTP 500: {""error"": ""internal error: [Errno 11] Resource temporarily unavailable""}"
flooder,640,1776628783.1820462,0.0,60400.65336227417,0,timeout
flooder,1327,1776628843.982146,0.0,42204.95676994324,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2036,1776628913.5823185,0.0,61000.041246414185,0,timeout
flooder,1587,1776628874.5886078,0.0,60993.86501312256,0,timeout
flooder,2694,1776628969.4829628,0.0,60099.900007247925,0,timeout
flooder,391,1776628761.6825833,0.0,60901.34525299072,0,timeout
flooder,2039,1776628913.7821362,0.0,60800.04072189331,0,timeout
flooder,980,1776628813.982136,0.0,44906.31651878357,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,390,1776628761.58548,0.0,21397.782564163208,0,"HTTP 500: {""error"": ""internal error: [Errno 11] Resource temporarily unavailable""}"
flooder,392,1776628761.782468,0.0,21601.40872001648,0,"HTTP 500: {""error"": ""internal error: can't start new thread""}"
flooder,2279,1776628934.8821256,0.0,54006.97898864746,0,"HTTP 503: {""error"": ""server overloaded"", ""detail"": ""Admission timeout: 256 in-flight, 255 queued"", ""queue_depth"": 255, ""in_flight"": 256}"
flooder,981,1776628814.0820563,0.0,45401.42726898193,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,2040,1776628913.882099,0.0,37900.20537376404,0,"HTTP 429: {""error"": ""Tenant 'flooder' has exceeded its request budget""}"
flooder,634,1776628782.4820857,0.0,60100.592374801636,0,timeout
flooder,648,1776628783.8825152,0.0,60810.91046333313,0,timeout
flooder,2299,1776628936.6820767,0.0,59801.239252090454,0,"HTTP 503: {""error"": ""server overloaded"", ""detail"": ""Admission timeout: 256 in-flight, 248 queued"", ""queue_depth"": 248, ""in_flight"": 256}"
flooder,1784,1776628891.4875202,0.0,60094.94924545288,0,timeout
